0,40,11.29,06,15
1,40,11.29,06,20
2,40,11.29,06,25
3,28,11.29,06,30
4,30,11.29,06,43
5,30,11.29,06,45
6,30,11.29,06,50
7,45,11.29,06,55
8,45,11.29,07,00
9,45,11.29,07,05
10,70,11.29,07,15
11,70,11.29,07,20
12,60,11.29,07,25
13,60,11.29,07,30
14,53,11.29,07,35
15,53,11.29,07,40
16,53,11.29,07,45
17,53,11.29,07,50
18,51,11.29,07,55
19,51,11.29,08,00
20,51,11.29,08,05
21,51,11.29,08,10
22,39,11.29,08,15
23,39,11.29,08,20
24,39,11.29,08,25
25,39,11.29,08,30
26,37,11.29,08,35
27,37,11.29,08,40
28,37,11.29,08,45
29,41,11.29,08,50
30,41,11.29,08,55
31,41,11.29,09,00
32,41,11.29,09,05
33,41,11.29,09,10
34,41,11.29,09,15
35,41,11.29,09,20
36,41,11.29,09,25
37,41,11.29,09,30
38,41,11.29,09,35
39,66,11.29,09,40
40,56,11.29,09,45
41,56,11.29,09,50
42,57,11.29,09,55
43,57,11.29,10,00
44,57,11.29,10,05
45,57,11.29,10,10
46,57,11.29,10,16
47,57,11.29,10,20
48,57,11.29,10,25
49,57,11.29,10,30
50,57,11.29,10,35
51,57,11.29,10,40
52,57,11.29,10,45
53,57,11.29,10,50
54,57,11.29,10,55
55,57,11.29,11,00
56,42,11.29,11,05
57,42,11.29,11,10
58,43,11.29,11,15
59,43,11.29,11,20
60,43,11.29,11,25
61,43,11.29,11,30
62,43,11.29,11,35
63,43,11.29,11,40
64,45,11.29,11,45
65,45,11.29,11,50
66,45,11.29,11,55
67,47,11.29,12,05
68,47,11.29,12,10
69,47,11.29,12,15
70,47,11.29,12,20
71,48,11.29,12,25
72,48,11.29,12,35
73,48,11.29,12,40
74,48,11.29,12,45
75,48,11.29,12,50
76,48,11.29,12,55
77,38,11.29,13,00
78,38,11.29,13,05
79,38,11.29,13,10
80,38,11.29,13,15
81,38,11.29,13,22
82,38,11.29,13,25
