device_id,pollution,timestamp,lat,lon
28C2DDDD47C6,10,2016-12-19T11:20:00Z,25.019,121.532
28C2DDDD47C5,3,2016-12-19T11:20:00Z,22.673,121.471
28C2DDDD47C0,43,2016-12-19T11:20:00Z,22.61,120.317
28C2DDDD47BC,95,2016-12-19T11:20:00Z,24.179,120.601
28C2DDDD47AD,101,2016-12-19T11:20:00Z,23.471,120.431
28C2DDDD47A8,7,2016-12-19T11:20:00Z,25.04,121.614
28C2DDDD47A4,11,2016-12-19T11:20:00Z,24.989,121.557
28C2DDDD47A2,128,2016-12-19T11:20:00Z,10.975,106.669
28C2DDDD479F,36,2016-12-19T11:20:00Z,22.961,120.323
28C2DDDD479E,12,2016-12-19T11:20:00Z,24.988,121.556
28C2DDDD479C,53,2016-12-19T11:20:00Z,22.977,120.275
28C2DDDD478C,5,2016-12-19T11:20:00Z,25.054,121.553
28C2DDDD4781,78,2016-12-19T11:20:00Z,23.483,120.443
28C2DDDD477E,27,2016-12-19T11:20:00Z,25.037,121.499
28C2DDDD4774,20,2016-12-19T11:20:00Z,25.012,121.552
28C2DDDD46F1,22,2016-12-19T11:20:00Z,25.045,121.446
28C2DDDD4625,18,2016-12-19T11:20:00Z,1.342,103.964
28C2DDDD4616,15,2016-12-19T11:20:00Z,1.323,103.869
28C2DDDD45FC,13,2016-12-19T11:20:00Z,25.08,121.571
28C2DDDD45E8,41,2016-12-19T11:20:00Z,24.161,120.638
28C2DDDD45E7,7,2016-12-19T11:20:00Z,24.967,121.538
28C2DDDD45E2,98,2016-12-19T11:20:00Z,23.468,120.453
28C2DDDD45E0,5,2016-12-19T11:20:00Z,25.105,121.514
28C2DDDD45D9,49,2016-12-19T11:20:00Z,15.167,120.6
28C2DDDD45AA,6,2016-12-19T11:20:00Z,25.062,121.451
28C2DDDD45A1,12,2016-12-19T11:20:00Z,25.105,121.482
28C2DDDD459F,7,2016-12-19T11:20:00Z,25.089,121.503
28C2DDDD459C,11,2016-12-19T11:20:00Z,25.023,121.535
28C2DDDD459A,5,2016-12-19T11:20:00Z,25.098,121.53
28C2DDDD4599,14,2016-12-19T11:20:00Z,25.031,121.493
28C2DDDD4598,7,2016-12-19T11:20:00Z,25.061,121.51
28C2DDDD458F,3,2016-12-19T11:20:00Z,25.036,121.532
28C2DDDD458A,5,2016-12-19T11:20:00Z,25.112,121.522
28C2DDDD4583,6,2016-12-19T11:20:00Z,25.058,121.533
28C2DDDD457E,6,2016-12-19T11:20:00Z,25.061,121.516
28C2DDDD457D,9,2016-12-19T11:20:00Z,25.03,121.518
28C2DDDD457B,95,2016-12-19T11:20:00Z,23.487,120.454
28C2DDDD457A,3,2016-12-19T11:20:00Z,25.013,121.552
28C2DDDD4579,8,2016-12-19T11:20:00Z,25.035,121.57
28C2DDDD4575,5,2016-12-19T11:20:00Z,25.062,121.451
28C2DDDD4572,6,2016-12-19T11:20:00Z,25.042,121.531
28C2DDDD4571,3,2016-12-19T11:00:00Z,25.005,121.537
28C2DDDD456A,10,2016-12-19T11:20:00Z,25.035,121.551
28C2DDDD4568,10,2016-12-19T11:20:00Z,25.064,121.516
28C2DDDD4566,9,2016-12-19T11:20:00Z,25.038,121.585
28C2DDDD4559,6,2016-12-19T11:15:00Z,25.029,121.557
28C2DDDD4539,4,2016-12-19T11:20:00Z,25.11,121.536
28C2DDDD4534,3,2016-12-19T11:20:00Z,25.084,121.507
28C2DDDD4532,59,2016-12-19T11:20:00Z,24.682,121.125
28C2DDDD451B,5,2016-12-19T11:20:00Z,25.005,121.587
