id,latitude,longitude,name,type,color,url
114,23.7352629,120.3984635,虎尾園區,固定汙染源,ff0000,
115,23.613024,120.3254748,元長工業區,固定汙染源,ff0000,
116,23.6421923,120.4655808,豐田工業區,固定汙染源,ff0000,
117,23.7135453,120.5873258,斗六工業區,固定汙染源,ff0000,
118,23.7263917,120.4992807,雲林科技工業區,固定汙染源,ff0000,
119,23.5228723,120.4455911,民雄工業區,固定汙染源,ff0000,
120,23.5085819,120.3605833,嘉太工業區,固定汙染源,ff0000,
121,23.4382859,120.2450043,朴子工業區,固定汙染源,ff0000,
122,23.3594317,120.2196476,義竹工業區,固定汙染源,ff0000,
123,23.3032871,120.2791651,新營工業區,固定汙染源,ff0000,
124,23.303367,120.2463344,柳營科技工業園區,固定汙染源,ff0000,
125,23.2110694,120.3208098,官田 工業區,固定汙染源,ff0000,
126,23.1000439,120.2804169,南部科學工業園區,固定汙染源,ff0000,
127,23.0491149,120.2722633,永康工業區,固定汙染源,ff0000,
128,23.0459471,120.1394668,台南科技工業區,固定汙染源,ff0000,
129,22.973664,120.181148,安平工業區,固定汙染源,ff0000,
130,22.8124689,120.2702095,本州工業區,固定汙染源,ff0000,
131,22.8126167,120.2021809,楠梓工業區,固定汙染源,ff0000,
132,22.72605,120.3374065,大社工業區,固定汙染源,ff0000,
133,22.7310444,120.3031992,仁武工業區,固定汙染源,ff0000,
134,22.6146402,120.3250808,鳳山工業區,固定汙染源,ff0000,
135,22.5978601,120.2886468,高雄加工出口區,固定汙染源,ff0000,
136,22.5740276,120.3182928,臨廣加工區,固定汙染源,ff0000,
137,22.5340982,120.3588168,臨海工業區,固定汙染源,ff0000,
138,22.4993345,120.4045313,林園工業區,固定汙染源,ff0000,
139,22.5821718,120.4275102,大發 工業區,固定汙染源,ff0000,
140,22.6628219,120.498212,屏東 工業區,固定汙染源,ff0000,
141,22.6416276,120.4360695,屏東加工出口區,固定汙染源,ff0000,
142,22.6379839,120.539005,內埔 工業區,固定汙染源,ff0000,
143,22.4119328,120.575014,屏南工業區,固定汙染源,ff0000,
144,22.7561596,121.1305299,豐樂工業區,固定汙染源,ff0000,
145,23.930736,121.5834218,光華 工業區,固定汙染源,ff0000,
146,24.018016,121.6255498,美崙 工業區,固定汙染源,ff0000,
147,24.0184066,121.3534071,和平 工業區,固定汙染源,ff0000,
148,24.6288429,121.8104608,龍德工業區,固定汙染源,ff0000,
149,24.6487089,121.830981,利澤工業區,固定汙染源,ff0000,
150,24.6962069,121.7692085,竹科中興園區,固定汙染源,ff0000,
151,23.797613,120.219343,雲林六輕,固定汙染源,ff0000,
