id,latitude,longitude,name,type,color,url
1,24.0873851,120.5594818,彰化台化,固定汙染源,ff0000,
2,24.0874,120.561617,台化彰化廠,固定汙染源,ff0000,
3,24.095142,120.714149,經濟部工業局大里工業區服務中心,固定汙染源,ff0000,
4,24.095152,120.7119615,大里工業區,固定汙染源,ff0000,
5,24.095932,120.618875,烏日BOT垃圾資源回收場(焚化爐),固定汙染源,ff0000,
6,24.108612,120.644444,烏日工業區,固定汙染源,ff0000,
7,24.1139728,120.5903079,永豐餘烏日廠,固定汙染源,ff0000,
8,24.125751,120.729103,台中市太平區太平工業區 ,固定汙染源,ff0000,
9,24.152616,120.599105,台中文山焚化爐,固定汙染源,ff0000,
10,24.168612,120.605985,台中工業區,固定汙染源,ff0000,
11,24.1843907,120.6047114,榮總焚化爐,固定汙染源,ff0000,
12,24.208879,120.618848,中部科學工業園區台中園區,固定汙染源,ff0000,
13,24.213337,120.48682,台中龍井區火力發電廠,固定汙染源,ff0000,
14,24.218234,120.701049,台中市潭子區潭子加工出口區 ,固定汙染源,ff0000,
15,24.229311,120.50138,中龍鋼鐵股份有限公司,固定汙染源,ff0000,
16,24.237254,120.523169,關連工業區,固定汙染源,ff0000,
17,24.2411306,120.5346506,中港加工出口區,固定汙染源,ff0000,
18,24.252014,120.738751,東億紙業股份有限公司,固定汙染源,ff0000,
19,24.2520189,120.73657,豐原東億紙業,固定汙染源,ff0000,
20,24.261357,120.49664,中美和石油化學 股份有限公司,固定汙染源,ff0000,
21,24.2770588,120.6959992,神岡豐洲科技工業園區,固定汙染源,ff0000,
22,24.284271,120.722834,正隆紙廠,固定汙染源,ff0000,
23,24.287663,120.698232,后里焚化爐,固定汙染源,ff0000,
24,24.295482,120.726734,友達光電后里L8B廠,固定汙染源,ff0000,
25,24.3014489,120.7157985,中科后里園區-七星基地,固定汙染源,ff0000,
26,24.31131,120.711155,豐興鋼鐵,固定汙染源,ff0000,
27,24.3183299,120.7219027,后里中科-美光,固定汙染源,ff0000,
28,24.412404,120.643012,廣源造紙(大甲幼獅工業區),固定汙染源,ff0000,
29,25.1195219,121.298964,林口發電廠,固定汙染源,ff0000,
30,25.0277287,120.9768552,長生發電廠,固定汙染源,ff0000,
31,25.0292898,121.0486342,大潭發電廠,固定汙染源,ff0000,
32,25.0327002,121.3196353,國光發電廠,固定汙染源,ff0000,
33,24.8156458,121.1953029,新桃電廠,固定汙染源,ff0000,
34,24.4900179,120.671311,通霄發電廠,固定汙染源,ff0000,
35,24.2133418,120.4846259,台中發電廠,固定汙染源,ff0000,
36,24.1281533,120.4187531,星元電廠,固定汙染源,ff0000,
37,24.1266891,120.4284708,星能電廠,固定汙染源,ff0000,
38,23.8011937,120.2108166,麥寮汽電,固定汙染源,ff0000,
39,25.1574748,121.7375229,協和發電廠,固定汙染源,ff0000,
40,24.3093338,121.7597243,和平電廠,固定汙染源,ff0000,
41,22.6015895,120.2996905,南部發電廠,固定汙染源,ff0000,
42,22.5360059,120.333415,大林發電廠,固定汙染源,ff0000,
43,22.8589405,120.1983564,興達發電廠,固定汙染源,ff0000,
44,23.5636038,119.6564689,尖山發電廠,固定汙染源,ff0000,
45,24.4143213,118.2799798,塔山發電廠,固定汙染源,ff0000,
46,23.5317119,120.470737,嘉惠電廠,固定汙染源,ff0000,
47,23.0840733,120.3536505,森霸電廠,固定汙染源,ff0000,
48,22.0260684,121.5375965,蘭嶼發電廠,固定汙染源,ff0000,
49,24.8352182,120.916969,新竹市南寮垃圾焚化爐,固定汙染源,ff0000,
50,24.6731798,120.8335429,苗栗縣竹南焚化爐,固定汙染源,ff0000,
51,24.3059215,120.7074675,台中縣后里焚化爐,固定汙染源,ff0000,
